segment,bandwidth_kbps
0,5125.170734
1,4739.93812
2,4852.730782
3,4786.565761
4,3886.683637
5,3113.005249
6,2098.634662
7,1466.914638
8,1115.462987
9,917.122208
10,956.867985
11,717.573731
12,794.161676
13,737.301205
14,725.340767
15,672.112349
16,643.875352
17,650.603216
18,877.572404
19,547.265178
20,743.635497
21,603.23993
22,841.016551
23,626.166374
24,553.545882
25,750.878417
26,1272.38103
27,1172.799924
28,1004.069274
29,1259.8433
30,931.803157
31,748.579211
32,603.255672
33,544.025935
34,620.371945
35,621.747566
36,869.859191
37,911.189641
38,724.992306
39,645.502343
40,858.679659
41,906.383138
42,1172.862231
43,1219.65308
44,1182.751462
45,752.037771
46,819.961057
47,877.933252
48,707.494515
49,734.971922
50,705.228003
51,680.019627
52,980.568268
53,1613.123537
54,1977.654326
55,2423.950216
56,3327.845709
57,2618.630817
58,2471.985485
59,2448.323309
