segment,bandwidth_kbps
0,597.02066
1,508.883765
2,587.213742
3,948.750696
4,1821.834776
5,2895.892238
6,4031.879337
7,5857.403105
8,4813.854227
9,4198.498161
10,4069.680678
11,2832.588928
12,2864.591335
13,2755.429118
14,3080.971827
15,2968.951809
16,2811.073119
17,2603.156901
18,2561.689401
19,3251.024096
20,2164.719811
21,1556.058839
22,1247.806092
23,926.772082
24,679.717569
25,674.282481
26,573.966576
27,588.961604
28,465.364421
29,571.330397
30,678.883837
31,720.434594
32,653.820887
33,736.101868
34,806.037473
35,631.583384
36,688.094895
37,677.502126
38,529.907582
39,349.402862
40,506.697538
41,606.076332
42,811.787687
43,672.095763
44,554.093587
45,543.068899
46,752.789129
47,1229.091953
48,1328.855998
49,1650.735442
50,1900.256437
51,1686.847419
52,1456.283907
53,1176.314149
54,696.396067
55,836.606812
56,687.498106
57,1251.92728
58,1566.34708
59,1894.493026
