segment,bandwidth_kbps
0,1913.434691
1,1708.453883
2,1613.038791
3,1567.171841
4,1954.925935
5,1673.883263
6,2303.374877
7,2272.823266
8,2147.332326
9,2728.099097
10,2241.55221
11,1445.209196
12,1097.688948
13,1116.416158
14,1427.180081
15,1942.384998
16,2460.119835
17,2665.723492
18,2337.649685
19,2468.383642
20,2602.397086
21,2526.574406
22,1949.180624
23,1787.777783
24,2522.110089
25,2808.245215
26,2493.083132
27,1918.883774
28,3081.372332
29,3179.22292
30,2605.055417
31,1518.397341
32,1115.819262
33,953.997886
34,1665.299108
35,2049.799306
36,3157.504414
37,3815.322151
38,3866.434373
39,2429.323189
40,1817.612324
41,985.750129
42,978.401086
43,898.742898
44,830.404156
45,819.60208
46,1178.718127
47,1251.528253
48,1733.270284
49,2542.692527
50,3367.643676
51,2557.268042
52,3060.41946
53,3127.56785
54,2266.31818
55,2597.634299
56,2678.728744
57,2347.63205
58,1974.444308
59,1949.050749
