segment,bandwidth_kbps
0,7561.52573
1,8000.0
2,6861.145065
3,5587.923346
4,5709.265169
5,2822.581534
6,2352.946821
7,4209.813795
8,3111.03212
9,3315.611404
10,2675.994781
11,3427.751323
12,3346.796952
13,3079.113826
14,2259.622975
15,2287.352665
16,2477.222523
17,2005.277922
18,2182.240213
19,2970.326867
20,1968.991833
21,2492.29578
22,4080.265821
23,4049.379392
24,4464.399521
25,4705.683184
26,5735.486307
27,5007.211639
28,6011.526485
29,6710.729699
30,8000.0
31,8000.0
32,6560.922912
33,6930.603676
34,4909.975152
35,6782.096082
36,5636.686253
37,7023.926692
38,7975.033499
39,8000.0
40,8000.0
41,8000.0
42,6128.510412
43,4572.159661
44,3725.909355
45,2410.368996
46,1736.472427
47,1802.611739
48,1260.472871
49,1202.1412
50,1298.313389
51,2247.000087
52,2639.547449
53,4480.898086
54,7397.610918
55,7078.367138
56,6346.932498
57,5519.865186
58,3485.964467
59,3258.47862
