segment,bandwidth_kbps
0,1091.916527
1,1648.631144
2,2075.683862
3,1610.747313
4,1757.337139
5,1391.51757
6,1198.978125
7,992.581532
8,705.181188
9,1257.759649
10,1225.45348
11,1226.773681
12,882.860829
13,932.65934
14,672.639162
15,653.285383
16,852.407221
17,842.62598
18,564.089807
19,967.38864
20,1476.266999
21,1584.582672
22,1679.584021
23,1852.913345
24,2248.973543
25,2628.818212
26,2329.307757
27,1654.143368
28,1162.93831
29,789.495687
30,697.321156
31,785.598061
32,882.161736
33,902.588671
34,952.609638
35,1092.743533
36,855.724754
37,674.76346
38,717.565397
39,623.118646
40,627.993492
41,672.605506
42,974.855401
43,972.788026
44,721.86358
45,515.502215
46,822.150999
47,1850.243471
48,1646.246871
49,2267.998976
50,2042.355508
51,1827.603937
52,1916.699137
53,2300.456067
54,2336.941256
55,1614.33931
56,1980.072458
57,1607.980337
58,1541.64185
59,1412.588068
