segment,bandwidth_kbps
0,2303.739192
1,2370.910357
2,2391.974373
3,3362.18694
4,3368.537117
5,4245.03111
6,2979.530285
7,3929.186496
8,4012.097681
9,3989.867389
10,1562.121198
11,1388.040693
12,1072.840723
13,793.616902
14,730.275343
15,806.668904
16,1293.075785
17,1605.542004
18,2130.654681
19,3252.268656
20,3566.152517
21,3461.107592
22,3517.787227
23,3180.423575
24,2891.454447
25,3559.471953
26,3927.713742
27,4459.450638
28,6791.884853
29,6855.012658
30,8000.0
31,7266.701831
32,7991.095165
33,7360.852572
34,7079.718326
35,7139.745122
36,7845.834181
37,7844.566151
38,8000.0
39,8000.0
40,8000.0
41,7657.631143
42,7807.391639
43,7706.710163
44,5869.996851
45,4328.186601
46,3689.474484
47,3297.251108
48,4180.961578
49,4965.728919
50,4561.901756
51,4243.938444
52,3841.553703
53,3528.859581
54,2993.134565
55,2517.245579
56,2629.471971
57,2305.347483
58,2573.938674
59,1302.439794
