scope,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_trace,evaluation_gradual,static,startup_delay_s,lower,5,1.3297350492346665,0.0,0.0,1.3297350492346665,1.3297350492346665
per_trace,evaluation_gradual,static,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,static,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,static,average_bitrate_kbps,higher,5,13225.266666666666,0.0,0.0,13225.266666666666,13225.266666666666
per_trace,evaluation_gradual,static,average_payload_bitrate_kbps,higher,5,15203.17444717445,0.0,0.0,15203.17444717445,15203.17444717445
per_trace,evaluation_gradual,static,buffer_mean_s,descriptive,5,5.972953000159774,0.0,0.0,5.972953000159774,5.972953000159774
per_trace,evaluation_gradual,static,buffer_std_s,lower,5,2.454526969001842,0.0,0.0,2.454526969001842,2.454526969001842
per_trace,evaluation_gradual,static,mean_objective_reward,higher,5,-0.5404617119138526,0.0,0.0,-0.5404617119138526,-0.5404617119138526
per_trace,evaluation_gradual,static,switch_count,lower,5,2.0,0.0,0.0,2.0,2.0
per_trace,evaluation_gradual,static,high_representation_fraction_percent,descriptive,5,6.666666666666667,0.0,0.0,6.666666666666667,6.666666666666667
per_trace,evaluation_gradual,throughput,startup_delay_s,lower,5,1.3297350492346665,0.0,0.0,1.3297350492346665,1.3297350492346665
per_trace,evaluation_gradual,throughput,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,throughput,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,throughput,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_gradual,throughput,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_gradual,throughput,buffer_mean_s,descriptive,5,8.943588268535843,0.0,0.0,8.943588268535843,8.943588268535843
per_trace,evaluation_gradual,throughput,buffer_std_s,lower,5,3.7092550734136447,0.0,0.0,3.7092550734136447,3.7092550734136447
per_trace,evaluation_gradual,throughput,mean_objective_reward,higher,5,-0.29090879493075733,0.0,0.0,-0.29090879493075733,-0.29090879493075733
per_trace,evaluation_gradual,throughput,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,throughput,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,bola-basic,startup_delay_s,lower,5,1.3297350492346665,0.0,0.0,1.3297350492346665,1.3297350492346665
per_trace,evaluation_gradual,bola-basic,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,bola-basic,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,bola-basic,average_bitrate_kbps,higher,5,16424.533333333333,0.0,0.0,16424.533333333333,16424.533333333333
per_trace,evaluation_gradual,bola-basic,average_payload_bitrate_kbps,higher,5,18549.549175149175,0.0,0.0,18549.549175149175,18549.549175149175
per_trace,evaluation_gradual,bola-basic,buffer_mean_s,descriptive,5,6.156846124853628,0.0,0.0,6.156846124853628,6.156846124853628
per_trace,evaluation_gradual,bola-basic,buffer_std_s,lower,5,1.943340222757978,0.0,0.0,1.943340222757978,1.943340222757978
per_trace,evaluation_gradual,bola-basic,mean_objective_reward,higher,5,-0.4420043103150831,0.0,0.0,-0.4420043103150831,-0.4420043103150831
per_trace,evaluation_gradual,bola-basic,switch_count,lower,5,7.0,0.0,0.0,7.0,7.0
per_trace,evaluation_gradual,bola-basic,high_representation_fraction_percent,descriptive,5,13.333333333333334,0.0,0.0,13.333333333333334,13.333333333333334
per_trace,evaluation_gradual,robust-mpc,startup_delay_s,lower,5,5.403055517169536,0.0,0.0,5.403055517169536,5.403055517169536
per_trace,evaluation_gradual,robust-mpc,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,robust-mpc,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,robust-mpc,average_bitrate_kbps,higher,5,24422.7,0.0,0.0,24422.7,24422.7
per_trace,evaluation_gradual,robust-mpc,average_payload_bitrate_kbps,higher,5,26285.551983151985,0.0,0.0,26285.551983151985,26285.551983151985
per_trace,evaluation_gradual,robust-mpc,buffer_mean_s,descriptive,5,5.993913823819741,0.0,0.0,5.993913823819741,5.993913823819741
per_trace,evaluation_gradual,robust-mpc,buffer_std_s,lower,5,2.4911671255416827,0.0,0.0,2.4911671255416827,2.4911671255416827
per_trace,evaluation_gradual,robust-mpc,mean_objective_reward,higher,5,-0.3176932621370689,0.0,0.0,-0.3176932621370689,-0.3176932621370689
per_trace,evaluation_gradual,robust-mpc,switch_count,lower,5,3.0,0.0,0.0,3.0,3.0
per_trace,evaluation_gradual,robust-mpc,high_representation_fraction_percent,descriptive,5,30.0,0.0,0.0,30.0,30.0
per_trace,evaluation_gradual,q-learning,startup_delay_s,lower,5,1.3297350492346665,0.0,0.0,1.3297350492346665,1.3297350492346665
per_trace,evaluation_gradual,q-learning,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,q-learning,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,q-learning,average_bitrate_kbps,higher,5,17384.31333333333,876.1552604038482,1087.7160387586252,16296.597294574707,18472.029372091958
per_trace,evaluation_gradual,q-learning,average_payload_bitrate_kbps,higher,5,19608.499094419098,966.684596754017,1200.1050359791234,18408.394058439975,20808.60413039822
per_trace,evaluation_gradual,q-learning,buffer_mean_s,descriptive,5,6.0462122681244095,0.10099443159064606,0.12538104606690553,5.920831222057504,6.171593314191315
per_trace,evaluation_gradual,q-learning,buffer_std_s,lower,5,1.8345050255312398,0.09935248761934694,0.12334263019127424,1.7111623953399655,1.9578476557225142
per_trace,evaluation_gradual,q-learning,mean_objective_reward,higher,5,-0.4173411819624575,0.022514252895630412,0.027950655645161797,-0.4452918376076193,-0.3893905263172957
