scope,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_trace,evaluation_gradual,static,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,static,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,static,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,static,average_bitrate_kbps,higher,q-learning_minus_static,5,4159.046666666667,876.1552604038482,1087.7160387586252,3071.3306279080416,5246.762705425293,True
per_trace,evaluation_gradual,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,4405.324647244648,966.684596754017,1200.1050359791234,3205.2196112655247,5605.4296832237715,True
per_trace,evaluation_gradual,static,buffer_mean_s,descriptive,q-learning_minus_static,5,0.07325926796463537,0.10099443159064606,0.12538104606690553,-0.05212177810227016,0.19864031403154092,False
per_trace,evaluation_gradual,static,buffer_std_s,lower,q-learning_minus_static,5,-0.6200219434706021,0.09935248761934694,0.12334263019127424,-0.7433645736618764,-0.4966793132793279,True
per_trace,evaluation_gradual,static,mean_objective_reward,higher,q-learning_minus_static,5,0.12312052995139511,0.022514252895630412,0.027950655645161797,0.0951698743062333,0.1510711855965569,True
per_trace,evaluation_gradual,static,switch_count,lower,q-learning_minus_static,5,3.2,1.6431676725154984,2.0399350577898305,1.1600649422101696,5.239935057789831,True
per_trace,evaluation_gradual,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,5,8.666666666666668,1.8257418583505536,2.266594508655367,6.400072158011301,10.933261175322034,True
per_trace,evaluation_bursty,static,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,static,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,static,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,static,average_bitrate_kbps,higher,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
