candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,11,4000,0.05,19,56,-0.3758485671578684,0.0
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,23,4000,0.05,19,56,-0.4109677246170914,0.0
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,37,4000,0.05,17,56,-0.4161798485275397,0.07869169654456654
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,53,4000,0.05,18,56,-0.4547456542587511,0.10574364746031745
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,71,4000,0.05,17,56,-0.3432657123954783,0.0
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,11,4000,0.05,19,56,-0.3814023853897549,0.0
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,23,4000,0.05,19,56,-0.3601893741766423,0.0
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,37,4000,0.05,17,56,-0.4396075090428001,0.07531739015873012
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,53,4000,0.05,18,56,-0.4588327875867711,0.10574364746031745
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,71,4000,0.05,17,56,-0.3719154136294619,0.03454860746031744
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,11,4000,0.05,19,56,-0.44576267635414235,0.0
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,23,4000,0.05,19,56,-0.37245077416070255,0.0
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,37,4000,0.05,17,56,-0.4485876022797823,0.09794629682539678
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,53,4000,0.05,19,56,-0.4733963625840461,0.12851493015873014
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,71,4000,0.05,17,56,-0.38266471801609875,0.0
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,11,4000,0.05,19,56,-0.4125593051062271,0.0
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,23,4000,0.05,19,56,-0.3764978221282425,0.0
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,37,4000,0.05,19,56,-0.46980296426770807,0.07476530523809523
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,53,4000,0.05,18,56,-0.49152985421093154,0.10574364746031745
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,71,4000,0.05,19,56,-0.38004991234765884,0.0
