candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,11,4000,0.05,19,56,-0.34644332514347126,0.0
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,23,4000,0.05,19,56,-0.4287086433525109,0.011919700793650767
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,37,4000,0.05,19,56,-0.387676328457897,0.0
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,53,4000,0.05,17,56,-0.376724594969309,0.03454860746031744
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,71,4000,0.05,19,56,-0.4692540650459526,0.1267953787301587
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,11,4000,0.05,19,56,-0.3734785096624862,0.0
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,23,4000,0.05,19,56,-0.4176314291871476,0.06339768936507935
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,37,4000,0.05,19,56,-0.3695452280107503,0.0
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,53,4000,0.05,17,56,-0.37010561004672815,0.011919700793650767
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,71,4000,0.05,19,56,-0.461948587377372,0.09794629682539678
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,11,4000,0.05,19,56,-0.36138656676426045,0.0
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,23,4000,0.05,19,56,-0.39973455931373303,0.011919700793650767
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,37,4000,0.05,18,56,-0.4231977881213082,0.07531739015873012
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,53,4000,0.05,19,56,-0.4526664947285628,0.07531739015873012
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,71,4000,0.05,19,56,-0.47801314128435357,0.10153357077566874
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,11,4000,0.05,19,56,-0.38285156050686725,0.0
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,23,4000,0.05,19,56,-0.47894110634043324,0.03454860746031744
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,37,4000,0.05,19,56,-0.4484154895495677,0.06339768936507935
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,53,4000,0.05,19,56,-0.4118768649139524,0.0
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,71,4000,0.05,19,56,-0.4365770481986652,0.0
