scope,trace,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_trace,evaluation_gradual,startup_delay_s,lower,q-learning_minus_static,5,0.09408759999999998,0.21038626943980918,0.26118717759999993,-0.16709957759999994,0.3552747775999999,False
per_trace,evaluation_gradual,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,average_bitrate_kbps,higher,q-learning_minus_static,5,5758.68,1823.8626158360846,2264.261494957814,3494.418505042186,8022.941494957815,True
per_trace,evaluation_gradual,buffer_mean_s,descriptive,q-learning_minus_static,5,-0.9855430304950094,0.1787348913001339,0.22189310130184461,-1.207436131796854,-0.7636499291931648,True
per_trace,evaluation_gradual,buffer_std_s,lower,q-learning_minus_static,5,-0.9995109328222347,0.2398886129365873,0.2978133027317721,-1.2973242355540067,-0.7016976300904626,True
per_trace,evaluation_gradual,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,5732.508248508251,1632.5819391519772,2026.7932409431028,3705.7150075651484,7759.301489451354,True
per_trace,evaluation_bursty,startup_delay_s,lower,q-learning_minus_static,5,0.09032409599999998,0.20197081866221678,0.25073969049599987,-0.1604155944959999,0.34106378649599983,False
per_trace,evaluation_bursty,rebuffering_s,lower,q-learning_minus_static,5,4.9601728,2.7728208902363667,3.442359923199999,1.5178128768000008,8.402532723199998,True
per_trace,evaluation_bursty,rebuffering_rate_percent,lower,q-learning_minus_static,5,17.410223938223933,9.732611057340703,12.082695413127407,5.327528525096525,29.49291935135134,True
per_trace,evaluation_bursty,average_bitrate_kbps,higher,q-learning_minus_static,5,1599.6333333333332,1131.1115774120408,1404.235367838284,195.39796549504922,3003.8687011716174,True
per_trace,evaluation_bursty,buffer_mean_s,descriptive,q-learning_minus_static,5,-0.8343803509337626,0.4664327959445058,0.5790599635480311,-1.4134403144817937,-0.2553203873857315,True
per_trace,evaluation_bursty,buffer_std_s,lower,q-learning_minus_static,5,-0.1065234601381384,0.059548424516841655,0.07392728133586805,-0.18045074147400647,-0.03259617880227035,True
per_trace,evaluation_bursty,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,1377.2346226746238,842.929981941438,1046.4680203889961,330.76660228562764,2423.7026430636197,True
per_trace,evaluation_challenging,startup_delay_s,lower,q-learning_minus_static,5,0.10752868571428564,0.24044145078835322,0.2984996315428569,-0.19097094582857127,0.40602831725714256,False
per_trace,evaluation_challenging,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,average_bitrate_kbps,higher,q-learning_minus_static,5,319.9266666666666,715.3777744815827,888.1164266666666,-568.18976,1208.0430933333332,False
per_trace,evaluation_challenging,buffer_mean_s,descriptive,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,buffer_std_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,158.51894699894729,354.4591412113324,440.0485968690776,-281.5296498701303,598.5675438680248,False
overall_per_seed,all_evaluation_traces,startup_delay_s,lower,q-learning_minus_static,5,0.09731346057142853,0.21759951296345972,0.27014216654628553,-0.172828705974857,0.36745562711771407,False
overall_per_seed,all_evaluation_traces,rebuffering_s,lower,q-learning_minus_static,5,1.653390933333333,0.9242736300787889,1.1474533077333329,0.5059376256000001,2.800844241066666,True
overall_per_seed,all_evaluation_traces,rebuffering_rate_percent,lower,q-learning_minus_static,5,5.803407979407978,3.2442036857802345,4.027565137709137,1.7758428416988412,9.830973117117114,True
overall_per_seed,all_evaluation_traces,average_bitrate_kbps,higher,q-learning_minus_static,5,2559.413333333333,1155.97414259923,1435.1013708641885,1124.3119624691444,3994.5147041975215,True
overall_per_seed,all_evaluation_traces,buffer_mean_s,descriptive,q-learning_minus_static,5,-0.606641127142924,0.199150415550783,0.24723825891336326,-0.8538793860562872,-0.3594028682295607,True
overall_per_seed,all_evaluation_traces,buffer_std_s,lower,q-learning_minus_static,5,-0.36867813098679103,0.09953896552374689,0.12357413597187802,-0.4922522669586691,-0.245103995014913,True
overall_per_seed,all_evaluation_traces,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,2422.753939393941,884.9278809153749,1098.6069395653296,1324.1469998286113,3521.360878959271,True
