training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,buffer_mean_s,buffer_std_s,average_payload_bitrate_kbps
11,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
11,11099,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,19623.8,5.014813751979344,1.3240228309970432,21746.962162162166
11,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
11,11100,evaluation_bursty,q-learning,3.8955348456565657,9.852366721196022,34.58184177323981,11625.633333333333,2.475197386185167,1.4980559229486061,13830.516532116533
11,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
11,11101,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
23,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
23,23207,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,16424.533333333333,5.193440281870514,1.8767746144660893,18437.141733941735
23,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
23,23208,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
23,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
23,23209,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
37,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
37,37333,evaluation_gradual,q-learning,1.8001730492346664,0.0,0.0,21223.433333333334,5.014813751979344,1.3240228309970432,22539.5568971569
37,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
37,37334,evaluation_bursty,q-learning,4.347155325656566,9.852366721196022,34.58184177323981,13225.266666666666,2.475197386185167,1.4980559229486061,14623.111267111268
37,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
37,37335,evaluation_challenging,q-learning,2.672233556390977,4.796178351287361,16.834602847621486,11625.633333333333,2.161798075659722,1.1348879455218377,13099.716672516673
53,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
53,53477,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,19623.8,5.014813751979344,1.3240228309970432,21746.962162162166
53,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
53,53478,evaluation_bursty,q-learning,3.8955348456565657,9.852366721196022,34.58184177323981,11625.633333333333,2.475197386185167,1.4980559229486061,13830.516532116533
53,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
53,53479,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
71,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
71,71639,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,4.699168310515277,1.4262370734408172,20207.790522990526
71,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
71,71640,evaluation_bursty,q-learning,3.8955348456565657,9.852366721196022,34.58184177323981,11625.633333333333,2.475197386185167,1.4980559229486061,13830.516532116533
71,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
71,71641,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
