scope,trace,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_trace,evaluation_gradual,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,average_bitrate_kbps,higher,q-learning_minus_static,5,4159.046666666667,876.1552604038482,1087.7160387586252,3071.3306279080416,5246.762705425293,True
per_trace,evaluation_gradual,buffer_mean_s,descriptive,q-learning_minus_static,5,0.07325926796463537,0.10099443159064606,0.12538104606690553,-0.05212177810227016,0.19864031403154092,False
per_trace,evaluation_gradual,buffer_std_s,lower,q-learning_minus_static,5,-0.6200219434706021,0.09935248761934694,0.12334263019127424,-0.7433645736618764,-0.4966793132793279,True
per_trace,evaluation_gradual,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,4405.324647244648,966.684596754017,1200.1050359791234,3205.2196112655247,5605.4296832237715,True
per_trace,evaluation_bursty,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,average_bitrate_kbps,higher,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,buffer_mean_s,descriptive,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,buffer_std_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,average_bitrate_kbps,higher,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,buffer_mean_s,descriptive,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,buffer_std_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_challenging,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,startup_delay_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,rebuffering_s,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,rebuffering_rate_percent,lower,q-learning_minus_static,5,0.0,0.0,0.0,0.0,0.0,False
overall_per_seed,all_evaluation_traces,average_bitrate_kbps,higher,q-learning_minus_static,5,1386.3488888888892,292.05175346794937,362.57201291954175,1023.7768759693474,1748.920901808431,True
overall_per_seed,all_evaluation_traces,buffer_mean_s,descriptive,q-learning_minus_static,5,0.02441975598821179,0.03366481053021535,0.04179368202230184,-0.017373926034090048,0.06621343801051363,False
overall_per_seed,all_evaluation_traces,buffer_std_s,lower,q-learning_minus_static,5,-0.20667398115686736,0.033117495873115646,0.04111421006375807,-0.24778819122062543,-0.1655597710931093,True
overall_per_seed,all_evaluation_traces,average_payload_bitrate_kbps,higher,q-learning_minus_static,5,1468.4415490815495,322.22819891800566,400.03501199304117,1068.4065370885082,1868.4765610745908,True
