training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,buffer_mean_s,buffer_std_s,average_payload_bitrate_kbps
11,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
11,11099,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,16424.533333333333,6.156846124853628,1.943340222757978,18549.549175149175
11,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
11,11100,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
11,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
11,11101,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
23,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
23,23207,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,16424.533333333333,6.156846124853628,1.943340222757978,18549.549175149175
23,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
23,23208,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
23,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
23,23209,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
37,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
37,37333,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,5.972456363638264,1.761948227380081,20314.46570726571
37,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
37,37334,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
37,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
37,37335,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
53,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
53,53477,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,5.972456363638264,1.761948227380081,20314.46570726571
53,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
53,53478,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
53,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
53,53479,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
71,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,5.972953000159774,2.454526969001842,15203.174447174448
71,71639,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,5.972456363638264,1.761948227380081,20314.46570726571
71,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
71,71640,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,3.5181728248523703,1.6312102481212791,12307.121937521937
71,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
71,71641,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,2.161798075659722,1.1348879455218377,12307.121937521937
