dataset,scope,trace,comparison,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
evaluation,per_trace,evaluation_gradual,standard_minus_static,startup_delay_s,lower,5,0.7674731182795699,0.19234993354836902,0.23879569892473118,0.5286774193548387,1.006268817204301,True
evaluation,per_trace,evaluation_gradual,standard_minus_static,rebuffering_s,lower,5,-0.3178032400337205,0.0,0.0,-0.3178032400337205,-0.3178032400337205,True
evaluation,per_trace,evaluation_gradual,standard_minus_static,rebuffering_rate_percent,lower,5,-0.5296720667228675,0.0,0.0,-0.5296720667228675,-0.5296720667228675,True
evaluation,per_trace,evaluation_gradual,standard_minus_static,average_bitrate_kbps,higher,5,-66.6666666666666,232.13980461973537,288.1934288710353,-354.8600955377019,221.52676220436868,False
evaluation,per_trace,evaluation_gradual,standard_minus_static,buffer_mean_s,descriptive,5,0.315294645524574,1.810907261810874,2.2481778771358747,-1.9328832316113007,2.5634725226604487,False
evaluation,per_trace,evaluation_gradual,standard_minus_static,buffer_std_s,lower,5,-0.33102782178385887,1.2819378938429191,1.5914809518836632,-1.9225087736675222,1.2604531300998043,False
evaluation,per_trace,evaluation_gradual,robust_minus_static,startup_delay_s,lower,5,0.5537634408602151,0.2865300122379042,0.3557169647685708,0.19804647609164433,0.909480405628786,True
evaluation,per_trace,evaluation_gradual,robust_minus_static,rebuffering_s,lower,5,-0.3178032400337205,0.0,0.0,-0.3178032400337205,-0.3178032400337205,True
evaluation,per_trace,evaluation_gradual,robust_minus_static,rebuffering_rate_percent,lower,5,-0.5296720667228675,0.0,0.0,-0.5296720667228675,-0.5296720667228675,True
evaluation,per_trace,evaluation_gradual,robust_minus_static,average_bitrate_kbps,higher,5,-450.0,374.90739597339973,465.43438826302645,-915.4343882630264,15.434388263026449,False
evaluation,per_trace,evaluation_gradual,robust_minus_static,buffer_mean_s,descriptive,5,3.9639799430219944,2.6239351562243542,3.257523504192972,0.7064564388290222,7.221503447214967,True
evaluation,per_trace,evaluation_gradual,robust_minus_static,buffer_std_s,lower,5,0.5376669846292295,1.4004971360197036,1.7386680944904604,-1.201001109861231,2.27633507911969,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,startup_delay_s,lower,5,-0.21370967741935482,0.42843466681620307,0.5318866184075531,-0.745596295826908,0.3181769409881983,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,average_bitrate_kbps,higher,5,-383.33333333333337,500.2777006601212,621.0772261876045,-1004.4105595209379,237.74389285427117,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,buffer_mean_s,descriptive,5,3.6486852974974204,3.5380923639087474,4.392417628194224,-0.7437323306968033,8.041102925691645,False
evaluation,per_trace,evaluation_gradual,robust_minus_standard,buffer_std_s,lower,5,0.8686948064130883,2.325567237411559,2.887110193435563,-2.0184153870224746,3.7558049998486513,False
evaluation,per_trace,evaluation_bursty,standard_minus_static,startup_delay_s,lower,5,0.7416666666666667,0.1863389981249825,0.2313333333333333,0.5103333333333334,0.973,True
evaluation,per_trace,evaluation_bursty,standard_minus_static,rebuffering_s,lower,5,19.1947775268085,20.701739387758913,25.70048366985486,-6.5057061430463605,44.89526119666336,False
evaluation,per_trace,evaluation_bursty,standard_minus_static,rebuffering_rate_percent,lower,5,31.991295878014178,34.50289897959819,42.83413944975811,-10.842843571743934,74.82543532777228,False
evaluation,per_trace,evaluation_bursty,standard_minus_static,average_bitrate_kbps,higher,5,876.6666666666667,442.4678268278698,549.3082945749944,327.3583720916723,1425.9749612416613,True
evaluation,per_trace,evaluation_bursty,standard_minus_static,buffer_mean_s,descriptive,5,-2.9632892038007634,0.580297850931617,0.7204194373318511,-3.6837086411326148,-2.242869766468912,True
evaluation,per_trace,evaluation_bursty,standard_minus_static,buffer_std_s,lower,5,-1.668899199647332,0.23647277190808266,0.29357265585048575,-1.9624718554978178,-1.375326543796846,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,startup_delay_s,lower,5,0.535,0.2770379035439014,0.34393284460778095,0.19106715539221908,0.878932844607781,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,rebuffering_s,lower,5,-22.16927527547853,10.321987872230691,12.814386065915158,-34.983661341393685,-9.354889209563371,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,rebuffering_rate_percent,lower,5,-36.948792125797546,17.203313120384486,21.3573101098586,-58.30610223565614,-15.591482015938947,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,average_bitrate_kbps,higher,5,176.66666666666666,134.68069233891285,167.20135778289736,9.465308883769296,343.868024449564,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,buffer_mean_s,descriptive,5,-1.4141359219482827,0.3738027479263617,0.46406300644036547,-1.8781989283886482,-0.9500729155079173,True
evaluation,per_trace,evaluation_bursty,robust_minus_static,buffer_std_s,lower,5,-1.1259005536871132,0.1366996108110995,0.16970777428507217,-1.2956083279721853,-0.9561927794020411,True
evaluation,per_trace,evaluation_bursty,robust_minus_standard,startup_delay_s,lower,5,-0.2066666666666667,0.41459484908629646,0.5147049699045507,-0.7213716365712174,0.30803830323788406,False
evaluation,per_trace,evaluation_bursty,robust_minus_standard,rebuffering_s,lower,5,-41.364052802287034,15.017630756533055,18.643862082739243,-60.00791488502628,-22.72019071954779,True
evaluation,per_trace,evaluation_bursty,robust_minus_standard,rebuffering_rate_percent,lower,5,-68.94008800381172,25.029384594221764,31.073103471232077,-100.0131914750438,-37.86698453257965,True
evaluation,per_trace,evaluation_bursty,robust_minus_standard,average_bitrate_kbps,higher,5,-700.0000000000001,380.60624155564125,472.5093052581669,-1172.509305258167,-227.49069474183324,True
evaluation,per_trace,evaluation_bursty,robust_minus_standard,buffer_mean_s,descriptive,5,1.5491532818524802,0.5241813157205006,0.650752726250804,0.8984005556016762,2.199906008103284,True
evaluation,per_trace,evaluation_bursty,robust_minus_standard,buffer_std_s,lower,5,0.5429986459602191,0.32560222273720607,0.4042237442750414,0.1387749016851777,0.9472223902352604,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,startup_delay_s,lower,5,0.9223057644110273,0.23537557657892516,0.29221052631578937,0.6300952380952379,1.2145162907268165,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,rebuffering_s,lower,5,-9.477780975063585,1.8178725079148077,2.256824985980096,-11.73460596104368,-7.220955989083489,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,rebuffering_rate_percent,lower,5,-15.796301625105972,3.029787513191348,3.761374976633496,-19.557676601739466,-12.034926648472476,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,average_bitrate_kbps,higher,5,350.00000000000006,159.4260539142416,197.92185663370614,152.07814336629392,547.9218566337062,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,buffer_mean_s,descriptive,5,-3.513508258649563,0.327200571452928,0.406208038169275,-3.919716296818838,-3.1073002204802878,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,buffer_std_s,lower,5,-1.6889269689813406,0.0804848882652745,0.09991916707032357,-1.7888461360516643,-1.589007801911017,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,startup_delay_s,lower,5,0.6641604010025062,0.3456920858178877,0.42916460496136516,0.23499579604114101,1.0933250059638713,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,rebuffering_s,lower,5,-19.14746008822096,0.004275964142547928,0.005308459572407683,-19.152768547793368,-19.142151628648552,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,rebuffering_rate_percent,lower,5,-31.912433480368264,0.007126606904245249,0.00884743262067786,-31.92128091298894,-31.903586047747588,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,average_bitrate_kbps,higher,5,-113.33333333333334,34.15650255319873,42.40410043065812,-155.73743376399148,-70.92923290267522,True
