strategy,training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
standard,11,4000,0.05,92,168,0.49048492462244925,0.0
standard,23,4000,0.05,93,168,0.44162723200531623,0.0049938949938950475
standard,37,4000,0.05,92,168,0.4818420660746774,0.05308136308136311
standard,53,4000,0.05,90,168,0.39741716827057966,0.2710728160728161
standard,71,4000,0.05,91,168,0.425592014839466,0.19921189921189922
robust,11,4000,0.05,108,168,0.29466263551184185,0.37564273495444683
robust,23,4000,0.05,107,168,0.3366990069794027,0.29196862505112287
robust,37,4000,0.05,108,168,0.3784314376384031,0.1336937120313668
robust,53,4000,0.05,106,168,0.009031820156496657,1.2256151718860098
robust,71,4000,0.05,108,168,0.2948337032453376,0.43938885227699254
