scope,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_trace,evaluation_gradual,static,startup_delay_s,lower,5,0.4233870967741936,0.0,0.0,0.4233870967741936,0.4233870967741936
per_trace,evaluation_gradual,static,rebuffering_s,lower,5,0.3178032400337205,0.0,0.0,0.3178032400337205,0.3178032400337205
per_trace,evaluation_gradual,static,rebuffering_rate_percent,lower,5,0.5296720667228675,0.0,0.0,0.5296720667228675,0.5296720667228675
per_trace,evaluation_gradual,static,average_bitrate_kbps,higher,5,2100.0,0.0,0.0,2100.0,2100.0
per_trace,evaluation_gradual,static,buffer_mean_s,descriptive,5,8.457095483960519,0.0,0.0,8.457095483960519,8.457095483960519
per_trace,evaluation_gradual,static,buffer_std_s,lower,5,3.653092041513184,0.0,0.0,3.653092041513184,3.653092041513184
per_trace,evaluation_gradual,q-learning,startup_delay_s,lower,5,1.1908602150537635,0.192349933548369,0.23879569892473113,0.9520645161290324,1.4296559139784946
per_trace,evaluation_gradual,q-learning,rebuffering_s,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,q-learning,rebuffering_rate_percent,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_gradual,q-learning,average_bitrate_kbps,higher,5,2033.3333333333335,232.13980461973537,288.1934288710353,1745.139904462298,2321.526762204369
per_trace,evaluation_gradual,q-learning,buffer_mean_s,descriptive,5,8.772390129485093,1.810907261810874,2.2481778771358747,6.524212252349217,11.020568006620968
per_trace,evaluation_gradual,q-learning,buffer_std_s,lower,5,3.3220642197293246,1.2819378938429191,1.5914809518836632,1.7305832678456614,4.913545171612988
per_trace,evaluation_bursty,static,startup_delay_s,lower,5,0.4083333333333333,0.0,0.0,0.4083333333333333,0.4083333333333333
per_trace,evaluation_bursty,static,rebuffering_s,lower,5,30.466130812053898,0.0,0.0,30.466130812053898,30.466130812053898
per_trace,evaluation_bursty,static,rebuffering_rate_percent,lower,5,50.7768846867565,0.0,0.0,50.7768846867565,50.7768846867565
per_trace,evaluation_bursty,static,average_bitrate_kbps,higher,5,1000.0,0.0,0.0,1000.0,1000.0
per_trace,evaluation_bursty,static,buffer_mean_s,descriptive,5,6.656657065553665,0.0,0.0,6.656657065553665,6.656657065553665
per_trace,evaluation_bursty,static,buffer_std_s,lower,5,3.245290038836022,0.0,0.0,3.245290038836022,3.245290038836022
per_trace,evaluation_bursty,q-learning,startup_delay_s,lower,5,1.15,0.1863389981249825,0.2313333333333333,0.9186666666666666,1.3813333333333333
per_trace,evaluation_bursty,q-learning,rebuffering_s,lower,5,49.660908338862406,20.701739387758913,25.70048366985486,23.960424669007544,75.36139200871727
per_trace,evaluation_bursty,q-learning,rebuffering_rate_percent,lower,5,82.76818056477069,34.50289897959819,42.83413944975811,39.934041115012576,125.6023200145288
per_trace,evaluation_bursty,q-learning,average_bitrate_kbps,higher,5,1876.6666666666667,442.4678268278698,549.3082945749944,1327.3583720916722,2425.9749612416613
per_trace,evaluation_bursty,q-learning,buffer_mean_s,descriptive,5,3.6933678617529027,0.580297850931617,0.7204194373318511,2.972948424421052,4.4137872990847535
per_trace,evaluation_bursty,q-learning,buffer_std_s,lower,5,1.57639083918869,0.23647277190808266,0.29357265585048575,1.2828181833382044,1.8699634950391757
per_trace,evaluation_challenging,static,startup_delay_s,lower,5,0.5012531328320802,0.0,0.0,0.5012531328320802,0.5012531328320802
per_trace,evaluation_challenging,static,rebuffering_s,lower,5,19.1505828109089,0.0,0.0,19.1505828109089,19.1505828109089
per_trace,evaluation_challenging,static,rebuffering_rate_percent,lower,5,31.9176380181815,0.0,0.0,31.9176380181815,31.9176380181815
per_trace,evaluation_challenging,static,average_bitrate_kbps,higher,5,1200.0,0.0,0.0,1200.0,1200.0
