training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,buffer_mean_s,buffer_std_s
11,,evaluation_gradual,static,0.42338709677419356,0.3178032400337205,0.5296720667228675,2100.0,8.457095483960519,3.6530920415131836
11,11099,evaluation_gradual,q-learning,1.2768817204301075,0.0,0.0,1766.6666666666667,9.706123396395826,4.977744612603675
11,,evaluation_bursty,static,0.4083333333333333,30.4661308120539,50.7768846867565,1000.0,6.656657065553666,3.245290038836022
11,11100,evaluation_bursty,q-learning,1.2333333333333334,42.03869689331563,70.06449482219271,1666.6666666666667,4.202309663802677,1.913969443439276
11,,evaluation_challenging,static,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
11,11101,evaluation_challenging,q-learning,1.5288220551378444,8.655099127925219,14.425165213208697,1716.6666666666667,4.448661592031156,1.6006023766847965
23,,evaluation_gradual,static,0.42338709677419356,0.3178032400337205,0.5296720667228675,2100.0,8.457095483960519,3.6530920415131836
23,23207,evaluation_gradual,q-learning,1.2768817204301075,0.0,0.0,2100.0,9.161892854383922,4.081122885440475
23,,evaluation_bursty,static,0.4083333333333333,30.4661308120539,50.7768846867565,1000.0,6.656657065553666,3.245290038836022
23,23208,evaluation_bursty,q-learning,1.2333333333333334,68.09043866119968,113.48406443533281,2133.3333333333335,3.251287385098995,1.4360259391657515
23,,evaluation_challenging,static,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
23,23209,evaluation_challenging,q-learning,1.5288220551378444,8.652093076006121,14.420155126676867,1450.0,4.0552561206909035,1.6266970639358609
37,,evaluation_gradual,static,0.42338709677419356,0.3178032400337205,0.5296720667228675,2100.0,8.457095483960519,3.6530920415131836
37,37333,evaluation_gradual,q-learning,1.2768817204301075,0.0,0.0,2133.3333333333335,7.781054848420061,2.5848631670245514
37,,evaluation_bursty,static,0.4083333333333333,30.4661308120539,50.7768846867565,1000.0,6.656657065553666,3.245290038836022
37,37334,evaluation_bursty,q-learning,1.2333333333333334,52.17792506676224,86.96320844460374,2100.0,3.382716107292959,1.495929635677849
37,,evaluation_challenging,static,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
37,37335,evaluation_challenging,q-learning,1.5288220551378444,12.280557003383091,20.467595005638486,1500.0,3.8750250594815814,1.6223415887343704
53,,evaluation_gradual,static,0.42338709677419356,0.3178032400337205,0.5296720667228675,2100.0,8.457095483960519,3.6530920415131836
53,53477,evaluation_gradual,q-learning,1.2768817204301075,0.0,0.0,2333.3333333333335,6.255254373437523,1.675372212831977
53,,evaluation_bursty,static,0.4083333333333333,30.4661308120539,50.7768846867565,1000.0,6.656657065553666,3.245290038836022
53,53478,evaluation_bursty,q-learning,1.2333333333333334,67.71106566620146,112.85177611033578,2283.3333333333335,3.19627031450556,1.3221494697724028
53,,evaluation_challenging,static,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
53,53479,evaluation_challenging,q-learning,1.5288220551378444,7.942686540512631,13.237810900854384,1716.6666666666667,4.675438981308545,1.6771114634082882
71,,evaluation_gradual,static,0.42338709677419356,0.3178032400337205,0.5296720667228675,2100.0,8.457095483960519,3.6530920415131836
71,71639,evaluation_gradual,q-learning,0.8467741935483871,0.0,0.0,1833.3333333333333,10.95762517478813,3.291218220745945
71,,evaluation_bursty,static,0.4083333333333333,30.4661308120539,50.7768846867565,1000.0,6.656657065553666,3.245290038836022
71,71640,evaluation_bursty,q-learning,0.8166666666666667,18.28641540683301,30.47735901138835,1200.0,4.434255838064321,1.713879707888171
71,,evaluation_challenging,static,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
71,71641,evaluation_challenging,q-learning,1.0025062656641603,10.833573431399522,18.055955718999204,1366.6666666666667,4.069997723693375,1.8003942178685042
