scope,content,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,startup_delay_s,lower,10,2.851962818260521,0.0,0.0,2.851962818260521,2.851962818260521
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,rebuffering_s,lower,10,0.46648500306173313,0.0,0.0,0.46648500306173313,0.46648500306173313
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,rebuffering_rate_percent,lower,10,0.7774750051028885,0.0,0.0,0.7774750051028885,0.7774750051028885
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,average_bitrate_kbps,higher,10,1019.0,0.0,0.0,1019.0,1019.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,average_payload_bitrate_kbps,higher,10,1019.4377333333334,0.0,0.0,1019.4377333333334,1019.4377333333334
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,buffer_mean_s,descriptive,10,3.986645193455351,0.0,0.0,3.986645193455351,3.986645193455351
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,buffer_std_s,lower,10,1.4469711812476902,0.0,0.0,1.4469711812476902,1.4469711812476902
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,mean_objective_reward,higher,10,-1.1048525589652887,0.0,0.0,-1.1048525589652887,-1.1048525589652887
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,mean_quality_utility,higher,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,mean_psnr_y_db,higher,10,42.874797916666665,0.0,0.0,42.874797916666665,42.874797916666665
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,switch_count,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,static,high_representation_fraction_percent,descriptive,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,startup_delay_s,lower,10,2.851962818260521,0.0,0.0,2.851962818260521,2.851962818260521
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,rebuffering_s,lower,10,1.8201852033039334,0.0,0.0,1.8201852033039334,1.8201852033039334
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,rebuffering_rate_percent,lower,10,3.0336420055065556,0.0,0.0,3.0336420055065556,3.0336420055065556
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,average_bitrate_kbps,higher,10,1075.0833333333333,0.0,0.0,1075.0833333333333,1075.0833333333333
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,average_payload_bitrate_kbps,higher,10,1082.858,0.0,0.0,1082.858,1082.858
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,buffer_mean_s,descriptive,10,3.531757934319798,0.0,0.0,3.531757934319798,3.531757934319798
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,buffer_std_s,lower,10,1.4151038245221423,0.0,0.0,1.4151038245221423,1.4151038245221423
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,mean_objective_reward,higher,10,-1.4236198991027185,0.0,0.0,-1.4236198991027185,-1.4236198991027185
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,mean_quality_utility,higher,10,0.03324841236041196,0.0,0.0,0.03324841236041196,0.03324841236041196
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,mean_psnr_y_db,higher,10,43.088415866666665,0.0,0.0,43.088415866666665,43.088415866666665
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,switch_count,lower,10,6.0,0.0,0.0,6.0,6.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,throughput,high_representation_fraction_percent,descriptive,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,startup_delay_s,lower,10,2.851962818260521,0.0,0.0,2.851962818260521,2.851962818260521
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,rebuffering_s,lower,10,3.349454734434379,0.0,0.0,3.349454734434379,3.349454734434379
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,rebuffering_rate_percent,lower,10,5.582424557390632,0.0,0.0,5.582424557390632,5.582424557390632
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,average_bitrate_kbps,higher,10,1142.3833333333334,0.0,0.0,1142.3833333333334,1142.3833333333334
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,average_payload_bitrate_kbps,higher,10,1151.8010666666667,0.0,0.0,1151.8010666666667,1151.8010666666667
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,buffer_mean_s,descriptive,10,2.613351809206129,0.0,0.0,2.613351809206129,2.613351809206129
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,buffer_std_s,lower,10,1.2233145896353266,0.0,0.0,1.2233145896353266,1.2233145896353266
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,mean_objective_reward,higher,10,-1.8703144636826465,0.0,0.0,-1.8703144636826465,-1.8703144636826465
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,mean_quality_utility,higher,10,0.07314650719290632,0.0,0.0,0.07314650719290632,0.07314650719290632
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,mean_psnr_y_db,higher,10,43.32740315,0.0,0.0,43.32740315,43.32740315
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,switch_count,lower,10,7.0,0.0,0.0,7.0,7.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,bola-basic,high_representation_fraction_percent,descriptive,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,startup_delay_s,lower,10,3.9757797153661274,0.0,0.0,3.9757797153661274,3.9757797153661274
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,rebuffering_s,lower,10,0.46648500306173313,0.0,0.0,0.46648500306173313,0.46648500306173313
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,rebuffering_rate_percent,lower,10,0.7774750051028885,0.0,0.0,0.7774750051028885,0.7774750051028885
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,average_bitrate_kbps,higher,10,1090.3833333333334,0.0,0.0,1090.3833333333334,1090.3833333333334
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,average_payload_bitrate_kbps,higher,10,1090.9121333333335,0.0,0.0,1090.9121333333335,1090.9121333333335
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,buffer_mean_s,descriptive,10,3.952411584492796,0.0,0.0,3.952411584492796,3.952411584492796
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,buffer_std_s,lower,10,1.3956638712101228,0.0,0.0,1.3956638712101228,1.3956638712101228
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_objective_reward,higher,10,-1.0919884329357572,0.0,0.0,-1.0919884329357572,-1.0919884329357572
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_quality_utility,higher,10,0.03893228358347067,0.0,0.0,0.03893228358347067,0.03893228358347067
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_psnr_y_db,higher,10,43.1226041,0.0,0.0,43.1226041,43.1226041
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,switch_count,lower,10,4.0,0.0,0.0,4.0,4.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,high_representation_fraction_percent,descriptive,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,startup_delay_s,lower,10,2.851962818260521,0.0,0.0,2.851962818260521,2.851962818260521
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,rebuffering_s,lower,10,15.317258391814724,5.182770506577921,3.707273094183332,11.609985297631392,19.024531485998054
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,rebuffering_rate_percent,lower,10,25.528763986357877,8.637950844296535,6.178788490305554,19.349975496052323,31.70755247666343
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,average_bitrate_kbps,higher,10,1513.0083333333334,85.55088921257176,61.19516759591987,1451.8131657374136,1574.2035009292533
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,average_payload_bitrate_kbps,higher,10,1504.17904,90.71381533729082,64.88824586074647,1439.2907941392534,1569.0672858607466
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,buffer_mean_s,descriptive,10,1.5437659992642863,0.10200541694017738,0.07296520986281621,1.47080078940147,1.6167312091271024
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,buffer_std_s,lower,10,0.7786757129183304,0.04016431370292139,0.02872982304506767,0.7499458898732627,0.807405535963398
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,mean_objective_reward,higher,10,-3.980992947869082,0.8437228745974457,0.6035210526825786,-4.5845140005516605,-3.3774718951865035
