sequence,segment,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
DVB_VVC_UHD1_HFR,0,10026,0.65,1615108,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=1934-1617041,6a5dfd0ebf2777e6f6ef4c7c8c9af8dd39bd9b39a5dd4a1721ba6df5b8e9717e
DVB_VVC_UHD1_HFR,1,10026,0.96,1919118,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=1617042-3536159,4da682a6137a721564e0dbb4a441253458ef4d4dae48beb1c130f54e14432d17
DVB_VVC_UHD1_HFR,2,10026,0.96,1301248,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=3536160-4837407,357718e1a18f79c8da5e5f90749c3d9533984860f52bf24d1cceb314e0d2197f
DVB_VVC_UHD1_HFR,3,10026,0.96,1263455,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=4837408-6100862,5adecd85405553de18faebac93e7fd3ffddb4d34330e4c851de19a4a0228b58c
DVB_VVC_UHD1_HFR,4,10026,0.96,1352924,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=6100863-7453786,070b19f50ea8ed864a892271c77927fcedcde314af9cd72290307d356008d588
DVB_VVC_UHD1_HFR,5,10026,0.96,1263725,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=7453787-8717511,d59aff7b9122b1b9dc08b3328160bac4a37eaf2289505c4f748153ab5cec1ea2
DVB_VVC_UHD1_HFR,6,10026,0.96,1339478,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=8717512-10056989,b67d802dcc2b251bba0f026e34f2779e01477d2928a2e1f22da3db6bf1a42232
DVB_VVC_UHD1_HFR,7,10026,0.96,1420758,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=10056990-11477747,29a2250b91979c8b1b12097e7acb899903b2f8d81a42b437102bac7736d78244
DVB_VVC_UHD1_HFR,8,10026,0.96,1354439,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=11477748-12832186,8adc486a871cc3c1f4191d57728548784f691bd8aa1d61dff4cca1f0a3b8fc59
DVB_VVC_UHD1_HFR,9,10026,0.96,1384122,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=12832187-14216308,b37df9148c18f2ee6f15e5c8eec78006eb2205d36fcd454260803b49072baaab
DVB_VVC_UHD1_HFR,10,10026,0.96,1413381,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=14216309-15629689,3874da80a5bccccc1339daeb539e2f27517e706dedc38a47120a290e4d2823a1
DVB_VVC_UHD1_HFR,11,10026,0.96,1338143,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=15629690-16967832,59a998a69463db83050fea7b8f572baaa3919ea28920e39d10967572084e5f41
DVB_VVC_UHD1_HFR,12,10026,0.96,1258188,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=16967833-18226020,767b72933676a1e90bac241e0e806c6925358349b07e9f5a99d4956239497c5c
DVB_VVC_UHD1_HFR,13,10026,0.96,1173023,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=18226021-19399043,1ed5d43146a6e56359abd513e78e2d6408ba267a970d5d4d0508751224da5c63
DVB_VVC_UHD1_HFR,14,10026,0.96,1209991,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=19399044-20609034,c0ae6b92414db1568601a978173f8ca761958169bcab2f42c71b71e092a39107
DVB_VVC_UHD1_HFR,15,10026,0.96,1162470,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=20609035-21771504,b58d30b2785bb938714d215396311a4bb87a8f265358025e630f823911b8f20e
DVB_VVC_UHD1_HFR,16,10026,0.96,1227019,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=21771505-22998523,f0b2ea701fcba43e073135f7ee33f5285b7ddcb8b5df664bd835966c053832ab
DVB_VVC_UHD1_HFR,17,10026,0.96,1410419,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=22998524-24408942,1dbf4ac18dbb89426f0da9c3c442999896b142d74922f2426f4032f742c32067
DVB_VVC_UHD1_HFR,18,10026,0.96,1576813,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=24408943-25985755,28a508f18c428db5bb72e8cc22c36fe0b2fb1422feb91fbaf25fce7152027f60
DVB_VVC_UHD1_HFR,19,10026,0.96,1775841,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=25985756-27761596,2a9665aa47350476ccc1f89e8b0754cda6801f7dea3b2245652a2e694716e641
DVB_VVC_UHD1_HFR,20,10026,0.96,1584276,,vvc_uhd1_hfr-ClosedGOP-3840x2160_100fps-SDR-60s-10Mbps.mp4#bytes=27761597-29345872,ccf52fc18f9ad1c5d13cc564cd8b237b2e7d4b786ad46762a1c5adeb75ac10e6
