sequence,segment,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
illustrative_sequence,0,500,2.0,110000,31.20,segments/example/500/segment_000.vvc,
illustrative_sequence,0,1000,2.0,220000,34.10,segments/example/1000/segment_000.vvc,
illustrative_sequence,0,2000,2.0,450000,37.00,segments/example/2000/segment_000.vvc,
illustrative_sequence,0,4000,2.0,900000,39.40,segments/example/4000/segment_000.vvc,
illustrative_sequence,1,500,2.0,140000,30.80,segments/example/500/segment_001.vvc,
illustrative_sequence,1,1000,2.0,290000,33.60,segments/example/1000/segment_001.vvc,
illustrative_sequence,1,2000,2.0,580000,36.50,segments/example/2000/segment_001.vvc,
illustrative_sequence,1,4000,2.0,1160000,39.00,segments/example/4000/segment_001.vvc,
illustrative_sequence,2,500,2.0,120000,31.00,segments/example/500/segment_002.vvc,
illustrative_sequence,2,1000,2.0,235000,33.90,segments/example/1000/segment_002.vvc,
illustrative_sequence,2,2000,2.0,470000,36.80,segments/example/2000/segment_002.vvc,
illustrative_sequence,2,4000,2.0,940000,39.20,segments/example/4000/segment_002.vvc,
illustrative_sequence,3,500,2.0,130000,30.90,segments/example/500/segment_003.vvc,
illustrative_sequence,3,1000,2.0,255000,33.80,segments/example/1000/segment_003.vvc,
illustrative_sequence,3,2000,2.0,520000,36.70,segments/example/2000/segment_003.vvc,
illustrative_sequence,3,4000,2.0,1040000,39.10,segments/example/4000/segment_003.vvc,
