sequence,segment,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
big_buck_bunny,0,1000,1,120733,37.995178,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0000.266,0ad4afca0dd449cc68439cdd5bbefaf8fe65ef1df3e248f12edafd43a240613f
big_buck_bunny,0,2000,1,220316,40.373377,../encoded/full/big_buck_bunny/bitrate_002000kbps/segment_0000.266,9287808fead79aa302c1ccef913070c25195a5067be93a18796b0e91f85308c6
big_buck_bunny,0,4000,1,399056,42.461292,../encoded/full/big_buck_bunny/bitrate_004000kbps/segment_0000.266,b8a221b96aaeca4f1f39f30ff9270cf5e82d01d3d9eaa1df3698179f27121e9e
big_buck_bunny,0,8000,1,653716,44.055365,../encoded/full/big_buck_bunny/bitrate_008000kbps/segment_0000.266,f6fdeedbe3b1541d524cc456d3039a1bcc45e90ea53c884eb0977827fac6decb
big_buck_bunny,1,1000,1,137580,43.695870,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0001.266,0d155f950b8e3c6fd5b9a4b871e097265eb6c07a12df99920b2905eae31f1b1f
big_buck_bunny,1,2000,1,217928,46.393750,../encoded/full/big_buck_bunny/bitrate_002000kbps/segment_0001.266,bd0b42a1f098c2cc08f03bd428140d6eb2298f2bfe9ebd5f2582e41007396dc8
big_buck_bunny,1,4000,1,327622,48.228241,../encoded/full/big_buck_bunny/bitrate_004000kbps/segment_0001.266,1433c14fa57716aa67957956ddf4b098287d14ccfb5a4276b31c9b4c02133f61
big_buck_bunny,1,8000,1,430265,49.261238,../encoded/full/big_buck_bunny/bitrate_008000kbps/segment_0001.266,c03dcb70d8b4b53efbe8650b16fbf46b00be29dba4128c8ffe2419d7cf74c551
big_buck_bunny,2,1000,1,134280,43.864618,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0002.266,a3b59d339d956ef9394b2bf0a850fbc2dbfc1e62e27d6937903aec0d58b8b780
big_buck_bunny,2,2000,1,212696,46.383173,../encoded/full/big_buck_bunny/bitrate_002000kbps/segment_0002.266,2ea481d2ed6333d370edacb44bcaef96001a08b55cfa1908426996f848a6e715
big_buck_bunny,2,4000,1,306084,47.981308,../encoded/full/big_buck_bunny/bitrate_004000kbps/segment_0002.266,3c6f9e292c8ea64a5af71251bbbc1381b0e573dfc3d5d775a46bd9db8c34a94a
big_buck_bunny,2,8000,1,404844,49.063346,../encoded/full/big_buck_bunny/bitrate_008000kbps/segment_0002.266,cce7404ce8337caa79f53b8de17c9e2690199cb08c976561bc52c6af46e97448
big_buck_bunny,3,1000,1,157503,43.475626,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0003.266,9504600bab210a984586a5a30904b0251f8873747e5f3d04a7806c7a3d865d27
big_buck_bunny,3,2000,1,244423,46.242228,../encoded/full/big_buck_bunny/bitrate_002000kbps/segment_0003.266,38fd4ecc2865f7f879ce0b21128db455d4e250729c75f16c084d052dd7e724da
big_buck_bunny,3,4000,1,368177,48.076165,../encoded/full/big_buck_bunny/bitrate_004000kbps/segment_0003.266,b57ebdb9bf6a8ca09bb066e0583b881b8993fe359ea89a3e7dc7407cb349ad9a
big_buck_bunny,3,8000,1,467230,48.994836,../encoded/full/big_buck_bunny/bitrate_008000kbps/segment_0003.266,66c6ba7ac3395f206feca3d82afd9b6838c33eec8e1d77f7a4d7a05abf0a3bfc
big_buck_bunny,4,1000,1,133905,45.825714,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0004.266,2b552b7b88513c46ba55fdbce466a92144925e809af74b1faaf2797ae377aadc
big_buck_bunny,4,2000,1,213476,47.398541,../encoded/full/big_buck_bunny/bitrate_002000kbps/segment_0004.266,6eec37f9a33191e06dbfc1194ad0ae3d6921d0de8d39f3d893e78c64a9e13179
big_buck_bunny,4,4000,1,325248,48.800186,../encoded/full/big_buck_bunny/bitrate_004000kbps/segment_0004.266,572d6e796f7f55e1a4ac9ddfddec46c2d033c3e31912b5ff439db08b65f91deb
big_buck_bunny,4,8000,1,508183,50.133120,../encoded/full/big_buck_bunny/bitrate_008000kbps/segment_0004.266,256e54a066f3261de6061f38be32291c6d23a99ad3b12306e698941ead53b8f7
big_buck_bunny,5,1000,1,120826,45.107122,../encoded/full/big_buck_bunny/bitrate_001000kbps/segment_0005.266,cb35d6b3146caaee94760befe61c16bade831f0b0a36fd6b348a5ece79ed849c
