sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
sita_sings_the_blues,0,L0,1000,973,1,351933,54.634168,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0000.266,599a950799807cb9c63712884dd4cc93b9068113c111452db9044f5b4a9f92f4
sita_sings_the_blues,0,L1,2000,1801,1,431196,56.433721,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0000.266,5c13b71c8b5c5bf78e138a7a2c7526500dad52185ee48766786f6c952d420fc2
sita_sings_the_blues,0,L2,4000,3219,1,485548,57.432242,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0000.266,97dc867369017d60e5e8a79221e0328013160fa515f22d07958dcfe9a60cc4c5
sita_sings_the_blues,0,L3,8000,5583,1,580920,59.213994,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0000.266,742de2a69b121f61517d45721bfe6eedaaf6a3263b2202f017573f08bab9c9b1
sita_sings_the_blues,1,L0,1000,973,1,174446,60.370112,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0001.266,f12510c74413e88465c43964caa679829bed81b23593f5f7a287d10d8a9d53d9
sita_sings_the_blues,1,L1,2000,1801,1,212615,62.000880,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0001.266,92fdd2d9f896647a45dab5e06f35570a7acc9df9aa292b20ad09e8d5e7643da4
sita_sings_the_blues,1,L2,4000,3219,1,253048,63.486807,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0001.266,bd1f69d3e466d7b689bb77a6ac4967ddf114ecc150fe804633adcb9390f0ee66
sita_sings_the_blues,1,L3,8000,5583,1,277673,64.305889,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0001.266,5be47a5a4e1de7190cec0700de18422255029a5fa6dcde416cbc7da27a159004
sita_sings_the_blues,2,L0,1000,973,1,124266,63.849774,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0002.266,793b6a6c92e8d4233a11bc3355dbd783b8dda17ed5d0ac60bee671caf7b263d6
sita_sings_the_blues,2,L1,2000,1801,1,148528,65.449736,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0002.266,09ad15c2421d59e3ab409ec5c336f4496485f5b5b56f6dfb1cb464c4f6db2d61
sita_sings_the_blues,2,L2,4000,3219,1,163093,66.320917,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0002.266,2cd26af61d0cd79e26bb902abd3484e5ba0860d78bdc8c3cfad513fbf0efc58b
