sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
tears_of_steel,0,L0,1000,894,1,118424,42.535859,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0000.266,ddcff713c7eb59539fed83294f9f949c1ea64c29a320475490238e10c4bdff47
tears_of_steel,0,L1,2000,1487,1,191262,44.082438,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0000.266,715d7811085121c145bb2b81ac8b0ad114f6ecff50694faaaa99e6b25b1f45d2
tears_of_steel,0,L2,4000,2327,1,258408,44.778183,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0000.266,89f93d48ae426835a0f141638de0bd1dfbe38719f5607b343af98855c3b9660a
tears_of_steel,0,L3,8000,3593,1,358063,45.426015,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0000.266,a5456cec6c9a15a71cbd3da176578bc7cccc4c99aad04e4e98650a7774f183e5
tears_of_steel,1,L0,1000,894,1,117790,41.665437,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0001.266,3c6336542ace88c880ad24f8b4044a0b35cb2b98975c839ab9ddc5b70bb12bd8
tears_of_steel,1,L1,2000,1487,1,196920,43.579459,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0001.266,05ef64c32a0607ea0f55f116face6e8a6eadbaece7bb8871a9d053d71cbdc0ce
tears_of_steel,1,L2,4000,2327,1,285537,44.591106,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0001.266,4d60d374936f40d541024e22bb6947c3b67ccf9c9c2b51a84b2b7a661a81e8cc
tears_of_steel,1,L3,8000,3593,1,368622,45.190701,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0001.266,c94db113a90df1e1fa3fdeb762421e6f7a9335bac99154df058952b3c0fed1ed
tears_of_steel,2,L0,1000,894,1,111613,41.918646,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0002.266,23c60fa81249f5faa38e78bc8e04848691b4bc0c72751379b30c4b4b8633a177
tears_of_steel,2,L1,2000,1487,1,193726,43.931435,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0002.266,6237a3d762002230e947e9190582d447b42c1c19fd0c97bad79748a1a5067548
tears_of_steel,2,L2,4000,2327,1,272875,44.854935,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0002.266,574298c7e1dacd31d3ee48330250b459e0ba6f3ce99fff62dceaf2204965d0e5
tears_of_steel,2,L3,8000,3593,1,393726,45.669195,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0002.266,28b06462ba8a17b1576c7ec827a4861d9fd8bf62c7557811798988399c50bdae
tears_of_steel,3,L0,1000,894,1,110442,42.464796,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0003.266,f8bbc6e9bd9437258d8803038bae8a53081b40f3943eb75420ec73fddddfbb48
tears_of_steel,3,L1,2000,1487,1,179262,44.297013,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0003.266,0ebd625fc8bb72cbe4373759f75a6d3ad74f6c7a6608d544c2c6b4b05b1aa137
tears_of_steel,3,L2,4000,2327,1,275772,45.443963,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0003.266,e51862415b55326931555c26f363dce064493448869d20a0b4c09f2602f9893d
tears_of_steel,3,L3,8000,3593,1,359684,46.022623,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0003.266,7f39e015c259bdbee3a7112ca00f78b0d1d6d2df820c3f3d27fc70d1e8191634
tears_of_steel,4,L0,1000,894,1,112815,41.394518,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0004.266,05318e4a3bf21243d4d5c79c754a4930b294fee71137038d65c0704c0b26e080
tears_of_steel,4,L1,2000,1487,1,188118,43.510632,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0004.266,1fecfd5bc32402e5c5481adab1d884242c030aaa20002576dbe385f105706eba
tears_of_steel,4,L2,4000,2327,1,291889,44.832139,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0004.266,d061e62c542aec206cb13f39a9c825eeebc80307a72384bb8ec246b17edfc448
tears_of_steel,4,L3,8000,3593,1,383050,45.451064,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0004.266,0bf6a1af38d19300ef3922db6645c03cd5ab8a828fa680e23b0a342c8d0a934c
tears_of_steel,5,L0,1000,894,1,104474,41.941748,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0005.266,2c29d8d821d36e6004f69b4f3792f814647decdbcb728b4880c7dd4c92b7b90f
tears_of_steel,5,L1,2000,1487,1,180988,43.940220,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0005.266,178ed3334aec3ae92c6cf541b8ecafc41509321f51fb63c6f7c44291a0386d96
tears_of_steel,5,L2,4000,2327,1,258805,44.845726,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0005.266,731827c19ad0228732c796d866503c708f5110d815ad43c2539ffd18946ceb20
tears_of_steel,5,L3,8000,3593,1,390406,45.544921,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0005.266,59e5f87d84fde47c6bb8fd373a6a2035006b9764cbdd7d748bef799eddaf6358
tears_of_steel,6,L0,1000,894,1,103832,42.860725,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0006.266,bb3c60d54618983464c6786ebd3b966080086fdf162e4d99243dc5ebef9da765
tears_of_steel,6,L1,2000,1487,1,181986,44.383303,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0006.266,fb59a903b4255e24ad613c5339abb67d55f763346a448e7047df40529ceb775c
tears_of_steel,6,L2,4000,2327,1,268710,45.131489,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0006.266,5898b70be61b39afb17c0bc3bcf2f6eacdfde3487d45287530e142f2814f3e35
tears_of_steel,6,L3,8000,3593,1,372799,45.590556,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0006.266,cb365497ef282a12f3b80b0214fdeed599c4ce785ab09fbe8954df64c00e1c65
tears_of_steel,7,L0,1000,894,1,107186,43.130919,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0007.266,94060e88ce2f6d84835cc1e9cfa4093896b93597f421fce4a6ce89cd5f70eb89
tears_of_steel,7,L1,2000,1487,1,178772,44.551460,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0007.266,462f5efcb0c4f2ff2179666a87bfeb8b3231da984bc398e3898c54a11c6b6e50
tears_of_steel,7,L2,4000,2327,1,258027,45.228059,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0007.266,23062cfd057be4b93cf370c3f9138f3bbf077f236ed7cc239521aeeb4d7db885
tears_of_steel,7,L3,8000,3593,1,362281,45.671116,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0007.266,68fcf562247c4ac1f9b6aa68b0a5039a7fefb2454fe8f6b096866793ac702c00
tears_of_steel,8,L0,1000,894,1,101343,42.784875,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0008.266,aff54a07f06f156e421a5a5bae5d289a59ce27277b895513b7e27d88ca7f9146
